commit_hash,commit_date,high_confidence,medium_confidence,low_confidence,high_severity,medium_severity,low_severity,cwes
4608d34b346c28d5d227363c881d3279378f40b3,2025-02-01T18:43:10+01:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
0d131c158234df544532830b7752fe43fcf4bb39,2025-02-01T08:53:14+01:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
89e28e13ecbf9fbcf235e16d453c08bbf2271244,2025-01-31T11:54:12+00:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
fd3cfd80bebad292d639a03e58632e494369eb92,2025-01-30T10:37:14-03:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
cbb0812683cf3236e4a4003bf7f74b119d3cde0c,2025-01-30T12:48:45+00:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
12b9ef38b3ff7f5b8b24a5f42e8923fdb6db44bb,2025-01-30T11:19:05+00:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
c6ace896a2da73356f7c9a655bbe32a0e3ce0435,2025-01-30T11:17:17+00:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
b84478ae953d049a1da42c3d0ef3ab3a9467b649,2025-01-30T11:15:05+00:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
5a2c1bc07d126ce32efaa157e712a8f3a7457b74,2025-01-29T09:11:54+00:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
0671a461c44ba4cf97e84b6c88413bed332df314,2025-01-28T22:17:40-03:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
8a6b4175d790424312965ec77e4e9b072fba188b,2025-01-28T17:18:08+00:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
efec74b90868c2e611f863bf4301d92ce08067e8,2025-01-28T12:05:53+00:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
0ba35a49481c9fec4731ca0dd2230d8d48f51389,2025-01-28T10:32:58+00:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
72ff18d41cfb004ae180bdf87fd8bad93041c691,2025-01-28T10:19:43+00:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
d9af197801376fae178761cac12d57178a738cf4,2025-01-28T08:02:13+01:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
8eca4077f60fa0705ecfd9437c9ceaeef7a3808b,2025-01-27T10:32:19+01:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
9a71eca64bd3a357ef4846d81668d690089779c7,2025-01-27T09:23:56+01:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
330d89d4fe7832355535580383523f1749a3ee45,2025-01-25T18:06:11+01:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
9cc3970eaaf603832c075618e61aea9ea430f719,2025-01-24T18:45:31+01:00,576,491,31,14,530,554,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
